Wall Time,Step,Accuracy,Zone,Run
1550129730,60153,0.889500022,us-central1-c,4
1550129808,64011,0.889900029,us-central1-c,4
1550130507,0,0.095200002,us-central1-c,5
1550130644,4015,0.332399994,us-central1-c,5
1550130781,8032,0.434700012,us-central1-c,5
1550130858,12042,0.521300018,us-central1-c,5
1550130996,16053,0.648100019,us-central1-c,5
1550131072,20060,0.761699975,us-central1-c,5
1550131210,24069,0.776000023,us-central1-c,5
1550131347,28071,0.792699993,us-central1-c,5
1550131424,32077,0.868499994,us-central1-c,5
1550131561,36085,0.882099986,us-central1-c,5
1550131638,40088,0.883899987,us-central1-c,5
1550131775,44097,0.882200003,us-central1-c,5
1550131913,48103,0.884800017,us-central1-c,5
1550131991,52116,0.885100007,us-central1-c,5
1550132129,56127,0.885999978,us-central1-c,5
1550132207,60139,0.8847,us-central1-c,5
1550132344,64011,0.883000016,us-central1-c,5
1550133159,0,0.116599999,us-central1-c,6
1550133296,4020,0.307799995,us-central1-c,6
1550133434,8031,0.44749999,us-central1-c,6
1550133511,12035,0.590200007,us-central1-c,6
1550133648,16041,0.727500021,us-central1-c,6
1550133725,20052,0.731400013,us-central1-c,6
1550133863,24059,0.80430001,us-central1-c,6
1550133939,28067,0.832599998,us-central1-c,6
1550134077,32077,0.879000008,us-central1-c,6
1550134214,36078,0.895799994,us-central1-c,6
1550134292,40086,0.895299971,us-central1-c,6
1550134430,44094,0.895200014,us-central1-c,6
1550134506,48102,0.896899998,us-central1-c,6
1550134645,52109,0.897800028,us-central1-c,6
1550134722,56122,0.896200001,us-central1-c,6
1550134860,60132,0.896099985,us-central1-c,6
1550134936,64012,0.896899998,us-central1-c,6
1550135591,0,0.098399997,us-central1-c,7
1550135730,4016,0.361999989,us-central1-c,7
1550135806,8034,0.392500013,us-central1-c,7
1550135943,12042,0.477299988,us-central1-c,7
1550136020,16050,0.577600002,us-central1-c,7
1550136158,20063,0.746900022,us-central1-c,7
1550136296,24064,0.796199977,us-central1-c,7
1550136373,28068,0.788100004,us-central1-c,7
1550136511,32087,0.866999984,us-central1-c,7
1550136589,36096,0.881799996,us-central1-c,7
